Client_ID,Type_Données,Niveau_Protection,Evénement_Sécurité,Statut_Protection,Date_Mise_à _Jour,Responsable_Sécurité
1,passwords,élevé,intrusion détectée,Annulé,1/24/2021,Bob
2,medical history,Faible,vulnérabilité identifiée,Terminé,2/27/2019,Alice
3,private photos,Très élevé,attaque en cours,En cours,1/31/2019,Bob
4,medical history,Très élevé,intrusion détectée,En attente,1/13/2019,Charlie
5,bank account details,Faible,intrusion détectée,Terminé,5/26/2019,Eve
6,financial records,élevé,attaque en cours,Terminé,2/2/2020,Bob
7,personal messages,Très élevé,vulnérabilité identifiée,En cours,7/25/2019,Charlie
8,personal messages,élevé,tentative d'accès non autorisée,En attente,8/17/2020,Charlie
9,personal messages,Faible,attaque en cours,En cours,4/25/2020,Eve
10,bank account details,Faible,tentative d'accès non autorisée,En cours,8/1/2019,Charlie
11,personal messages,Faible,attaque en cours,En cours,9/24/2020,Bob
12,bank account details,Faible,attaque en cours,En cours,5/19/2019,Alice
13,personal emails,élevé,attaque en cours,En cours,3/24/2019,David
14,financial records,Faible,vulnérabilité identifiée,En cours,8/7/2019,Alice
15,personal messages,Très élevé,vulnérabilité identifiée,En attente,3/4/2019,Charlie
16,medical history,Très élevé,intrusion détectée,Terminé,2/5/2019,Eve
17,personal emails,Faible,vulnérabilité identifiée,Annulé,7/26/2020,Charlie
18,passwords,Moyen,intrusion détectée,Annulé,10/7/2020,Bob
19,personal emails,Faible,tentative d'accès non autorisée,En cours,2/21/2021,Charlie
20,personal emails,Très élevé,attaque en cours,Terminé,10/2/2019,Eve
21,confidential documents,élevé,attaque en cours,Annulé,12/9/2021,Bob
22,bank account details,élevé,vulnérabilité identifiée,Terminé,12/4/2019,David
23,bank account details,Faible,tentative d'accès non autorisée,En attente,12/3/2019,Alice
24,social security numbers,élevé,vulnérabilité identifiée,En cours,2/6/2020,Eve
25,financial records,élevé,attaque en cours,En attente,9/12/2021,David
26,confidential documents,Très élevé,vulnérabilité identifiée,En attente,10/9/2020,Charlie
27,private photos,Faible,attaque en cours,Terminé,8/28/2019,Eve
28,medical history,Moyen,intrusion détectée,Annulé,11/29/2020,Bob
29,confidential documents,Moyen,attaque en cours,Annulé,5/6/2021,Alice
30,confidential documents,Très élevé,attaque en cours,En cours,10/3/2020,Charlie
31,bank account details,Très élevé,intrusion détectée,En attente,1/27/2020,Bob
32,personal messages,Moyen,tentative d'accès non autorisée,Annulé,11/19/2021,Eve
33,financial records,élevé,tentative d'accès non autorisée,Terminé,7/17/2020,Eve
34,passwords,Moyen,vulnérabilité identifiée,En attente,7/24/2019,Bob
35,social security numbers,Faible,intrusion détectée,En cours,2/9/2020,Eve
36,passwords,Très élevé,attaque en cours,En attente,10/4/2019,Charlie
37,private photos,Très élevé,intrusion détectée,Terminé,8/11/2019,David
38,confidential documents,Faible,attaque en cours,En cours,2/1/2020,David
39,personal emails,Moyen,intrusion détectée,Terminé,3/2/2020,David
40,private photos,élevé,intrusion détectée,Annulé,5/17/2020,Bob
41,financial records,Faible,vulnérabilité identifiée,En cours,2/23/2020,Bob
42,personal emails,élevé,intrusion détectée,Annulé,11/30/2021,Bob
43,personal messages,élevé,tentative d'accès non autorisée,En attente,11/9/2019,Alice
44,private photos,Faible,tentative d'accès non autorisée,Annulé,6/5/2019,David
45,confidential documents,élevé,intrusion détectée,Annulé,10/10/2019,Charlie
46,financial records,Très élevé,attaque en cours,Annulé,12/17/2019,David
47,passwords,Très élevé,intrusion détectée,En attente,3/28/2019,Bob
48,confidential documents,Très élevé,vulnérabilité identifiée,En cours,2/24/2020,David
49,medical history,Faible,tentative d'accès non autorisée,Terminé,11/18/2021,Bob
50,social security numbers,Moyen,attaque en cours,En cours,12/20/2020,Alice
51,medical history,Très élevé,attaque en cours,Terminé,4/5/2020,Charlie
52,financial records,Faible,intrusion détectée,En attente,11/4/2020,Alice
53,financial records,Moyen,tentative d'accès non autorisée,En cours,3/26/2020,David
54,confidential documents,Faible,attaque en cours,Terminé,8/17/2021,Charlie
55,private photos,Moyen,attaque en cours,Annulé,4/8/2021,Eve
56,social security numbers,Moyen,intrusion détectée,Terminé,7/1/2020,Alice
57,financial records,élevé,intrusion détectée,En cours,4/12/2021,Alice
58,passwords,élevé,attaque en cours,Terminé,5/2/2019,David
59,financial records,Moyen,vulnérabilité identifiée,Terminé,4/20/2019,Alice
60,social security numbers,Très élevé,tentative d'accès non autorisée,En attente,2/4/2019,Alice
61,social security numbers,Faible,intrusion détectée,En cours,11/23/2019,Bob
62,passwords,Très élevé,attaque en cours,Annulé,4/29/2021,Alice
63,passwords,Moyen,tentative d'accès non autorisée,Terminé,2/20/2020,Alice
64,personal emails,élevé,intrusion détectée,Terminé,8/20/2021,Alice
65,credit card information,Faible,vulnérabilité identifiée,Terminé,8/9/2021,Alice
66,confidential documents,Moyen,intrusion détectée,En attente,6/28/2021,Eve
67,medical history,Faible,attaque en cours,Terminé,7/21/2021,Eve
68,passwords,Très élevé,vulnérabilité identifiée,Terminé,1/13/2021,Bob
69,bank account details,Faible,attaque en cours,Annulé,12/22/2020,Charlie
70,financial records,élevé,vulnérabilité identifiée,Annulé,10/12/2019,David
71,credit card information,élevé,vulnérabilité identifiée,En cours,11/11/2020,Eve
72,financial records,élevé,vulnérabilité identifiée,En cours,2/16/2019,Alice
73,passwords,élevé,attaque en cours,Terminé,7/21/2021,Charlie
74,credit card information,Moyen,attaque en cours,Terminé,11/17/2020,Charlie
75,confidential documents,Très élevé,tentative d'accès non autorisée,En attente,2/8/2021,David
76,medical history,Moyen,attaque en cours,En cours,3/6/2020,Bob
77,confidential documents,Faible,intrusion détectée,Terminé,7/24/2019,David
78,confidential documents,Moyen,intrusion détectée,Terminé,4/24/2020,David
79,financial records,Faible,vulnérabilité identifiée,Terminé,7/29/2019,David
